"","Name","Rating","genre"
"1","Batman: The Animated Series","9","
Animation, Action, Adventure            "
"2","Samurai Jack","8.5","
Animation, Action, Adventure            "
"3","Avatar: The Last Airbender","9.3","
Animation, Action, Adventure            "
"4","Total Drama Island","7.4","
Animation, Action, Adventure            "
"5","Scooby-Doo! Mystery Incorporated","8.1","
Animation, Adventure, Comedy            "
"6","Justice League","8.6","
Animation, Action, Adventure            "
"7","The Avengers: Earth's Mightiest Heroes","8.3","
Animation, Action, Adventure            "
"8","Batman Beyond","8.1","
Animation, Action, Adventure            "
"9","Teenage Mutant Ninja Turtles","7.9","
Animation, Action, Adventure            "
"10","Teen Titans","7.9","
Animation, Action, Adventure            "
"11","Ben 10","7.5","
Animation, Action, Adventure            "
"12","Generator Rex","7.6","
Animation, Action, Adventure            "
"13","Trollhunters","8.4","
Animation, Action, Adventure            "
"14","Gargoyles","8","
Animation, Action, Adventure            "
"15","Roswell Conspiracies: Aliens, Myths & Legends","7.5","
Animation, Action, Mystery            "
"16","The Legend of Korra","8.4","
Animation, Action, Adventure            "
"17","Voltron: Legendary Defender","8.1","
Animation, Action, Adventure            "
"18","The Spectacular Spider-Man","8.4","
Animation, Action, Adventure            "
"19","Megas XLR","8.3","
Animation, Short, Action            "
"20","Sym-Bionic Titan","8.1","
Animation, Action, Adventure            "
"21","Gravity Falls","8.9","
Animation, Adventure, Comedy            "
"22","Star Wars: The Clone Wars","8.4","
Animation, Action, Adventure            "
"23","Star Wars Rebels","8.1","
Animation, Action, Adventure            "
"24","Kim Possible","7.2","
Animation, Action, Adventure            "
"25","Codename: Kids Next Door","7.2","
Animation, Action, Adventure            "
"26","Danny Phantom","7.2","
Animation, Action, Adventure            "
"27","The Dragon Prince","8.3","
Animation, Action, Adventure            "
"28","Futurama","8.5","
Animation, Adventure, Comedy            "
"29","Tangled: The Series","7.7","
Animation, Action, Adventure            "
"30","3Below: Tales of Arcadia","7.7","
Animation, Action, Adventure            "
"31","Castlevania","8.3","
Animation, Action, Adventure            "
"32","Final Space","8.2","
Animation, Action, Adventure            "
"33","Tron: Uprising","8.2","
Animation, Action, Adventure            "
"34","Thundercats","7.8","
Animation, Action, Adventure            "
"35","The Boondocks","8.5","
Animation, Action, Comedy            "
"36","6Teen","7.5","
Animation, Comedy, Drama            "
"37","Wizards","8","
Animation, Action, Adventure            "
"38","Primal","8.7","
Animation, Action, Adventure            "
"39","The Legend of Vox Machina","8.4","
Animation, Action, Adventure            "
"40","Invincible","8.7","
Animation, Action, Adventure            "
"41","Blood of Zeus","7.5","
Animation, Action, Adventure            "
"42","Arcane: League of Legends","9","
Animation, Action, Adventure            "
"43","Star Wars: Clone Wars","7.8","
Animation, Action, Adventure            "
"44","SWAT Kats: The Radical Squadron","8.4","
Animation, Action, Adventure            "
"45","Scooby Doo, Where Are You!","7.9","
Animation, Adventure, Comedy            "
"46","Detentionaire","8","
Animation, Action, Adventure            "
"47","Rick and Morty","9.1","
Animation, Adventure, Comedy            "
"48","Titan Maximum","7","
Animation, Adventure, Comedy            "
"49","American Dad!","7.4","
Animation, Comedy            "
"50","Robot Chicken","7.7","
Animation, Short, Adventure            "
"51","Bob's Burgers","8.2","
Animation, Comedy            "
"52","South Park","8.7","
Animation, Comedy            "
"53","Family Guy","8.2","
Animation, Comedy            "
